age,gender,state,prescribe_levothyroxine0_013Oral_Capsule,prescribe_levothyroxine0_025Oral_Tablet,prescribe_levothyroxine0_05Oral_Capsule,prescribe_levothyroxine0_05Oral_Tablet,prescribe_levothyroxine0_075Oral_Tablet,prescribe_levothyroxine0_088Oral_Capsule,prescribe_levothyroxine0_088Oral_Tablet,prescribe_levothyroxine0_112Oral_Tablet,prescribe_levothyroxine0_125Oral_Tablet,prescribe_levothyroxine0_137Oral_Tablet,prescribe_levothyroxine0_15Oral_Tablet,prescribe_levothyroxine0_175Oral_Tablet,prescribe_levothyroxine0_1Oral_Capsule,prescribe_levothyroxine0_1Oral_Tablet,prescribe_levothyroxine0_2Oral_Tablet,prescribe_levothyroxine0_3Oral_Tablet,prescribe_liothyronine0_005Oral_Tablet,prescribe_liothyronine0_025Oral_Tablet,prescribe_thyroid_USP_120Oral_Tablet,prescribe_thyroid_USP_15Oral_Tablet,prescribe_thyroid_USP_180Oral_Tablet,prescribe_thyroid_USP_30Oral_Tablet,prescribe_thyroid_USP_60Oral_Tablet,prescribe_thyroid_USP_90Oral_Tablet
12 - 18,Male,Maryland,,,,,,,,,,,100.0,,,,,,,,,,,,,
12 - 18,Male,Mississippi,,,,,,,,,,,100.0,,,,,,,,,,,,,
12 - 18,Male,North Carolina,,,,,,,,,,,100.0,,,,,,,,,,,,,
12 - 18,Male,Oklahoma,,,,,,,,,,,100.0,,,,,,,,,,,,,
12 - 18,Male,South Carolina,,,,,,,,,,,100.0,,,,,,,,,,,,,
12 - 18,Male,Tennessee,,,,,,,,,,,100.0,,,,,,,,,,,,,
12 - 18,Male,Texas,,,,,,,,,,,100.0,,,,,,,,,,,,,
12 - 18,Male,Virginia,,,,,,,,,,,100.0,,,,,,,,,,,,,
12 - 18,Male,West Virginia,,,,,,,,,,,100.0,,,,,,,,,,,,,
19 - 49,Female,Alabama,,6.259967501279895,,15.912806586471682,19.988097781093185,,5.7664455518882285,7.765216108179428,5.249970705691429,3.923857644402219,5.4975823002356625,4.161229468987114,,12.72021405287152,1.999691887089158,0.5995623257185048,2.3606148364647224,,1.6843649181604006,,,1.229702617184734,1.776061669967649,3.1046140443144785
19 - 49,Female,Alaska,,7.405030839329241,,14.261070615692942,13.94262336082848,,7.817355600406765,12.40869035305136,6.951731405327931,3.876481367545437,3.7152717549735534,1.3959954018873229,,10.906418389068818,3.864450940801013,,2.6262579159141026,0.6591379870353906,,3.61385643180881,,3.5519088551386204,3.0037187811902086,
19 - 49,Female,Arizona,,7.405030839329241,,14.261070615692942,13.94262336082848,,7.817355600406765,12.40869035305136,6.951731405327931,3.876481367545437,3.7152717549735534,1.3959954018873229,,10.906418389068818,3.864450940801013,,2.6262579159141026,0.6591379870353906,,3.61385643180881,,3.5519088551386204,3.0037187811902086,
19 - 49,Female,Arkansas,,6.259967501279895,,15.912806586471682,19.988097781093185,,5.7664455518882285,7.765216108179428,5.249970705691429,3.923857644402219,5.4975823002356625,4.161229468987114,,12.72021405287152,1.999691887089158,0.5995623257185048,2.3606148364647224,,1.6843649181604006,,,1.229702617184734,1.776061669967649,3.1046140443144785
19 - 49,Female,California,,7.405030839329241,,14.261070615692942,13.94262336082848,,7.817355600406765,12.40869035305136,6.951731405327931,3.876481367545437,3.7152717549735534,1.3959954018873229,,10.906418389068818,3.864450940801013,,2.6262579159141026,0.6591379870353906,,3.61385643180881,,3.5519088551386204,3.0037187811902086,
19 - 49,Female,Colorado,,7.405030839329241,,14.261070615692942,13.94262336082848,,7.817355600406765,12.40869035305136,6.951731405327931,3.876481367545437,3.7152717549735534,1.3959954018873229,,10.906418389068818,3.864450940801013,,2.6262579159141026,0.6591379870353906,,3.61385643180881,,3.5519088551386204,3.0037187811902086,
19 - 49,Female,Connecticut,,2.036954176293277,,19.27465297075229,16.402202778881044,,3.5192855715125044,1.8656775978013604,11.581504718124373,0.7624132797739002,3.155446927736242,7.732600674773184,,21.693638639004178,5.012765979816681,,5.036400928946069,,,,,,1.9264557565848888,
19 - 49,Female,Delaware,,6.259967501279895,,15.912806586471682,19.988097781093185,,5.7664455518882285,7.765216108179428,5.249970705691429,3.923857644402219,5.4975823002356625,4.161229468987114,,12.72021405287152,1.999691887089158,0.5995623257185048,2.3606148364647224,,1.6843649181604006,,,1.229702617184734,1.776061669967649,3.1046140443144785
19 - 49,Female,District of Columbia,,6.259967501279895,,15.912806586471682,19.988097781093185,,5.7664455518882285,7.765216108179428,5.249970705691429,3.923857644402219,5.4975823002356625,4.161229468987114,,12.72021405287152,1.999691887089158,0.5995623257185048,2.3606148364647224,,1.6843649181604006,,,1.229702617184734,1.776061669967649,3.1046140443144785
19 - 49,Female,Florida,,6.259967501279895,,15.912806586471682,19.988097781093185,,5.7664455518882285,7.765216108179428,5.249970705691429,3.923857644402219,5.4975823002356625,4.161229468987114,,12.72021405287152,1.999691887089158,0.5995623257185048,2.3606148364647224,,1.6843649181604006,,,1.229702617184734,1.776061669967649,3.1046140443144785
19 - 49,Female,Georgia,,6.259967501279895,,15.912806586471682,19.988097781093185,,5.7664455518882285,7.765216108179428,5.249970705691429,3.923857644402219,5.4975823002356625,4.161229468987114,,12.72021405287152,1.999691887089158,0.5995623257185048,2.3606148364647224,,1.6843649181604006,,,1.229702617184734,1.776061669967649,3.1046140443144785
19 - 49,Female,Hawaii,,7.405030839329241,,14.261070615692942,13.94262336082848,,7.817355600406765,12.40869035305136,6.951731405327931,3.876481367545437,3.7152717549735534,1.3959954018873229,,10.906418389068818,3.864450940801013,,2.6262579159141026,0.6591379870353906,,3.61385643180881,,3.5519088551386204,3.0037187811902086,
19 - 49,Female,Idaho,,7.405030839329241,,14.261070615692942,13.94262336082848,,7.817355600406765,12.40869035305136,6.951731405327931,3.876481367545437,3.7152717549735534,1.3959954018873229,,10.906418389068818,3.864450940801013,,2.6262579159141026,0.6591379870353906,,3.61385643180881,,3.5519088551386204,3.0037187811902086,
19 - 49,Female,Illinois,,9.594064363286053,,13.040801941807636,9.712948215266168,,4.4671626973117,5.846075176273816,7.043647538896297,6.271784513008306,10.409330690694118,6.224408462062385,,15.447723220488923,1.1771782814683298,,2.2601147179828764,,3.5766412664304683,0.0,2.565812738068463,,2.362306176954447,
